URL,label
https://www.dalmacijadanas.hr/sto-ocekivati-od-turisticke-sezone-sigurnost-ce-biti-glavni-preduvjet/,NEGATIVE
https://www.dalmacijadanas.hr/karin-u-spaladium-areni-mozemo-sigurno-cijepiti-i-po-5-000-ljudi-imamo-problema-s-cijepljenjem-astrazenecom/,NEGATIVE
https://www.dalmacijadanas.hr/najnoviji-podaci-preminule-tri-osobe-u-kbc-u-split-najvise-novozarazenih-iz-splita-i-solina/,NEGATIVE
https://www.dalmacijadanas.hr/konacno-malo-optimizma-evo-koliko-je-osoba-zarazeno-na-splitskom-podrucju-u-posljednja-24-sata/,NEGATIVE
https://www.dalmacijadanas.hr/stozer-sd-zupanije-odlucio-gotovo-svi-ucenici-nastavljaju-pohadati-online-nastavu-donosimo-sve-detalje-nove-odluke/,NEGATIVE
https://www.dalmacijadanas.hr/brojke-u-sd-zupaniji-su-visoke-veliki-broj-novih-slucajeva-je-zabiljezen-u-splitu-evo-svih-detalja/,NEGATIVE
https://www.dalmacijadanas.hr/pocelo-cijepljenje-intendant-hnk-split-nam-otkrio-procijepit-cemo-70-posto-djelatnika/,NEGATIVE
https://www.dalmacijadanas.hr/velika-brojka-u-splitu-evo-koliko-je-covid-novozarazenih-u-sd-zupaniji/,NEGATIVE
https://www.dalmacijadanas.hr/velike-brojke-u-sd-zupaniji-vise-od-330-novooboljelih-evo-detalja/,NEGATIVE
https://www.dalmacijadanas.hr/najnoviji-podaci-na-podrucju-splitsko-dalmatinske-zupanije-najvise-novozarazenih-u-splitu-solinu-i-kastelima/,NEGATIVE
https://www.dalmacijadanas.hr/poznato-koliko-je-danas-novozarazenih-u-splitsko-dalmatinskoj-zupaniji/,NEGATIVE
https://www.dalmacijadanas.hr/vazna-obavijest-pcr-testiranje-na-sars-cov-2-uskoro-sele-iz-splitske-trajektne-luke/,NEGATIVE
https://www.dalmacijadanas.hr/evo-kako-ce-izgledati-program-devetnice-i-proslavp-svetkovine-sv-dujma/,NEGATIVE
https://www.dalmacijadanas.hr/danas-je-u-splitu-pocelo-cijepljenje-opce-populacije-za-one-koji-se-prijave-online-odmah-na-pocetku-se-javili-problemi/,NEGATIVE
https://www.dalmacijadanas.hr/splitska-epidemiologinja-ocekujem-kroz-narednih-nekoliko-tjedana-smirivanje-pandemije/,NEGATIVE
https://www.dalmacijadanas.hr/splitsko-dalmatinska-zupanija-broji-13-novooboljelih-evo-odakle-su/,NEGATIVE
https://www.dalmacijadanas.hr/stanje-u-splitsko-dalmatinskoj-zupaniji-preminule-dvije-osobe-evo-koliko-je-novooboljelih/,NEGATIVE
https://www.dalmacijadanas.hr/novinari-dosli-na-krizmu-splitski-svecenik-ih-nazvao-korumpiranim-smecem/,NEGATIVE
https://www.dalmacijadanas.hr/nadbiskupija-o-slavlju-pricesti-i-krizmi-ovo-je-samo-preporuka-svjesni-smo-da-ce-se-u-mnogim-zupama-ipak-slaviti/,NEGATIVE
https://www.dalmacijadanas.hr/split-skuplji-i-od-zagreba-kvadrat-stana-od-dvije-do-tri-tisuce-eura-u-ovim-kvartovima-mladi-bjeze-u-predgrada/,NEGATIVE
https://www.dalmacijadanas.hr/stanje-na-splitskom-podrucju-preminule-4-osobe-najvise-novooboljelih-iz-splita-zarista-su-i-kastela-makarska-i-solin/,NEGATIVE
https://www.dalmacijadanas.hr/stroge-mjere-u-dijelu-dalmacije-evo-gdje-ce-velika-vecina-ucenika-pohadati-online-nastavu/,NEGATIVE
